     n         h                l                k               nl               nk
 38406  -0.13558147E+02   0.92879684E-04  -0.15994960E-03   0.35671371E+01  -0.61430243E+01
 39482  -0.13658665E+02   0.92102972E-04  -0.15718154E-03   0.36364095E+01  -0.62058416E+01
 40560  -0.13753134E+02   0.91313776E-04  -0.15446532E-03   0.37036868E+01  -0.62651134E+01
 41640  -0.13842182E+02   0.90522707E-04  -0.15180632E-03   0.37693655E+01  -0.63212152E+01
 42722  -0.13926522E+02   0.89742081E-04  -0.14921072E-03   0.38339612E+01  -0.63745804E+01
 43806  -0.14006959E+02   0.88986100E-04  -0.14668564E-03   0.38981251E+01  -0.64257111E+01
 44892  -0.14084414E+02   0.88271170E-04  -0.14423926E-03   0.39626694E+01  -0.64751889E+01
 45980  -0.14159950E+02   0.87616363E-04  -0.14188114E-03   0.40286004E+01  -0.65236948E+01
 46340  -0.14184698E+02   0.87416898E-04  -0.14112310E-03   0.40508991E+01  -0.65396445E+01
   inf  -0.14731969E+02   0.91865536E-04  -0.14833551E-03   0.42570489E+01  -0.68738675E+01
