     n         h                l                k               nl               nk
 38406  -0.14010643E+02   0.97974217E-04  -0.16727265E-03   0.37627978E+01  -0.64242734E+01
 39482  -0.14084313E+02   0.96566864E-04  -0.16388683E-03   0.38126529E+01  -0.64705798E+01
 40560  -0.14151403E+02   0.95139381E-04  -0.16057316E-03   0.38588533E+01  -0.65128474E+01
 41640  -0.14212466E+02   0.93699768E-04  -0.15733436E-03   0.39016583E+01  -0.65514028E+01
 42722  -0.14268048E+02   0.92255828E-04  -0.15417291E-03   0.39413535E+01  -0.65865751E+01
 43806  -0.14318690E+02   0.90815141E-04  -0.15109103E-03   0.39782481E+01  -0.66186937E+01
 44892  -0.14364927E+02   0.89385072E-04  -0.14809069E-03   0.40126747E+01  -0.66480873E+01
 45980  -0.14407292E+02   0.87972814E-04  -0.14517370E-03   0.40449900E+01  -0.66750867E+01
 46340  -0.14420533E+02   0.87511224E-04  -0.14422832E-03   0.40552701E+01  -0.66835403E+01
   inf  -0.14761865E+02   0.91853126E-04  -0.14886932E-03   0.42564739E+01  -0.68986043E+01
