     n         h                l                k               nl               nk
 36260  -0.56364047E+01   0.52169371E-04  -0.76406666E-04   0.18916614E+01  -0.27705057E+01
 37332  -0.56364084E+01   0.50671300E-04  -0.74212815E-04   0.18916610E+01  -0.27705128E+01
 38406  -0.56364119E+01   0.49254301E-04  -0.72137676E-04   0.18916607E+01  -0.27705196E+01
 39482  -0.56364153E+01   0.47911973E-04  -0.70171878E-04   0.18916605E+01  -0.27705261E+01
 40560  -0.56364186E+01   0.46638571E-04  -0.68307010E-04   0.18916604E+01  -0.27705323E+01
 41640  -0.56364219E+01   0.45428927E-04  -0.66535502E-04   0.18916605E+01  -0.27705383E+01
 42722  -0.56364250E+01   0.44278374E-04  -0.64850524E-04   0.18916607E+01  -0.27705441E+01
 43806  -0.56364280E+01   0.43182693E-04  -0.63245895E-04   0.18916610E+01  -0.27705497E+01
 44892  -0.56364310E+01   0.42138054E-04  -0.61716010E-04   0.18916615E+01  -0.27705551E+01
 45980  -0.56364340E+01   0.41140978E-04  -0.60255773E-04   0.18916622E+01  -0.27705604E+01
 46340  -0.56364350E+01   0.40821372E-04  -0.59787703E-04   0.18916624E+01  -0.27705622E+01
   inf  -0.56365209E+01   0.40820438E-04  -0.59791455E-04   0.18916191E+01  -0.27707360E+01
